Date,W5000,VINIX,AMZN,SBUX,BAC,PG
1/30/12,2.450633367,2.469855301,-3.097893544,2.005490859,9.957924264,-1.614418521
2/6/12,-0.318512025,-0.089307463,-0.397254673,1.4546987,3.594351733,1.62265349
2/13/12,1.509349117,0.766559348,-2.495056927,-1.223237538,-3.022974607,1.184726386
2/21/12,0.23430215,0.296067054,-1.927177178,-0.24782942,-1.867995019,2.64656263
2/27/12,-0.05431493,0.191208577,0.99133157,1.579052533,4.364569961,0.150214811
3/5/12,0.229305397,0.526822322,2.97207095,6.469503111,-0.494437577,0.480406839
3/12/12,2.178530199,2.452962591,0.499645889,2.405696736,22.34706617,0.718890252
3/19/12,-0.452274267,-0.887558029,6.317795688,4.374880339,0.715746421,0.596749226
3/26/12,0.665511361,-0.967738118,3.069014212,0.666424712,-4.395604396,-0.488602303
4/2/12,-0.778566762,-1.416362823,-1.833150655,3.837231909,-3.249475891,-0.177965297
4/9/12,-1.986710858,-0.845048156,-1.853971943,7.682902043,-3.982300885,-1.363913349
4/16/12,0.624099706,0.661408888,0.513200902,-4.472791862,-5.749718151,2.272382903
4/23/12,1.846417061,2.682414934,20.03280597,-2.130197682,2.867830424,-3.691528699
4/30/12,-2.638323815,-2.036999842,0.017864702,-3.256136166,-5.839416058,1.100970396
5/7/12,-1.035129866,-1.098987019,2.392513031,-0.344208327,-2.075226978,0.346676652
5/14/12,-3.704242638,-3.159092982,-5.208333195,-5.466885176,-4.748982361,0.031496063
5/21/12,1.999704119,0.165498555,-0.532635614,5.511510453,1.706970128,-1.837885642
5/29/12,-3.228426905,-4.043791225,-2.837145084,-5.16457519,-3.571428571,-1.740102199
6/4/12,3.698155311,3.753826939,5.342334774,3.057692308,6.478873239,1.718270412
6/11/12,0.953230117,2.625453617,0.39542093,-2.973224267,2.331606218,-0.174632476
6/18/12,-0.344387761,-0.71133862,2.245952238,4.394342759,2.187902188,-4.363809073
6/25/12,2.121092008,3.184712575,3.654109347,-1.550960118,5.684754522,2.872017083
7/2/12,-0.222883267,-0.735710498,-1.853467049,-2.750744812,-6.585365854,0.393181514
7/9/12,-0.035921376,0.338899379,-2.937778222,3.55418389,2.49017038,6.495414046
7/16/12,0.253634403,0.693212973,5.397039093,-2.805836192,-10.84489281,0.170225928
7/23/12,1.400460245,2.633068454,5.606980217,-7.158223995,5.331412104,1.071419221
7/30/12,0.110530257,0.440879399,-0.856539662,-7.460486671,2.06043956,0.940053952
8/6/12,1.175215248,0.914924951,-1.192901182,3.122880813,3.89261745,2.36086759
8/13/12,1.027236062,1.062670665,3.849632758,5.42194773,3.626943005,0.661060717
8/20/12,-0.577141072,-0.468223062,1.810502585,0.93264456,2.255639098,0.134464366
8/27/12,-0.187853471,-0.231465934,1.00899592,1.2449,-2.56097561,0.388468549
9/4/12,2.448673623,2.392194045,4.378302181,3.478254732,10,1.93394225
9/10/12,2.088023904,2.609363316,0.876443629,-1.406801485,8.031674208,1.096330882
9/17/12,-0.589546332,-0.052061426,-1.446889569,2.242240195,-2.981895634,0.783973611
9/24/12,-1.437673396,-1.603287773,-0.352634588,-0.373286822,-1.779755284,0.028850593
10/1/12,1.357009412,1.201811008,1.217704022,-4.300015708,5.073280722,0.432705887
10/8/12,-2.16870501,-1.851147515,-5.941712744,-3.041512536,-0.436681223,-2.216466513
10/15/12,0.281278236,-0.46205119,-1.17356637,-3.74974081,2.164502165,0.439436082
10/22/12,-1.373033028,-1.521259591,-0.238680543,0.306142576,-3.695881732,1.594738891
10/31/12,0.271923181,0.154437838,-1.650308431,10.83497081,7.065217391,-0.460365402
11/5/12,-2.419238682,-2.546152308,-2.469399747,0.314960636,-4.069175992,-3.192717377
11/12/12,-1.543939912,-1.373212859,-0.60020302,-4.317113507,-4,-0.491440045
11/19/12,3.654892543,1.632014162,5.063068345,4.533383612,5.769230769,3.881173425
11/26/12,0.780698809,0.758100077,4.850453034,2.00590175,0.407331976,0.997979476
12/3/12,0.062232012,0.678806701,0.289067482,2.876870021,7.150050352,0.644337093
12/10/12,-0.274881016,-0.291035444,-1.544845479,-0.298951794,-0.188679245,-0.270968328
12/17/12,1.416935829,0.022773097,2.846169111,0.168192867,6.009389671,-1.758393213
12/24/12,-1.895395878,-2.365919415,-4.710452999,-1.367809657,0.798580302,-2.213479022
12/31/12,4.80640498,2.842470032,6.317946256,6.258345736,6.508355321,3.119397015
1/7/13,0.468860128,0.739792967,1.889949797,-0.703978314,-4.279835391,0.435291655
1/14/13,0.977999449,1.054360762,1.537311567,-0.508257397,-4.048234281,0.908965543
1/22/13,1.302060896,0.702209751,4.554154785,3.159616851,4.496402878,4.852560766
1/28/13,0.633812399,0.902281207,-6.617802194,0.035188248,0.60137457,2.970290127
2/4/13,0.350023877,1.553943161,-0.31584862,0.035494234,1.554404145,0.079268065
2/11/13,0.21334516,0.258770136,0.718078995,-3.857041755,2.557544757,1.498470946
2/19/13,-0.4482494,-0.960721578,-0.184269487,-0.349527219,-5.454545455,0.561651007
2/25/13,0.193533504,2.086082641,-0.449543714,0.863965042,-2.24137931,-0.7525652
3/4/13,2.305072499,1.748509911,3.327561614,7.120682856,7.098491571,1.219672131
3/11/13,0.614775359,0.321560287,-4.246054309,-1.267126669,4.056291391,-0.882888894
3/18/13,-0.224926576,0.308275774,-0.597758608,0.560813169,2.196908055,1.804999952
