"County","LandArea","PctRural","MedianIncome","Population","PctUnder18","PctOver65","PctPoverty","PctUninsured","PctSomeCollege","PctUnemployed","Physicians","PhysiciansPer10000"
"Sherman",923,100,49309,3084,27.8,14,13.7,27,41.8,3.2,0,0
"Collingsworth",918.4,100,38655,3017,28.3,17.5,20.4,24,43.5,4.1,1,3.31455087835598
"Cochran",775.2,100,39870,2935,28.3,14.9,15.1,23,32.9,5.1,1,3.40715502555366
"Culberson",3812.8,100,33637,2266,25.1,16.8,25.2,27,28.5,4.1,1,4.41306266548985
"Dickens",901.7,100,35924,2218,18.9,20.9,18.8,28,52.7,6.3,0,0
"Jeff Davis",2264.6,100,46364,2204,12,29.9,7.4,30,42.8,3.7,1,4.53720508166969
"Menard",902,100,32580,2147,17.6,30.1,23.5,26,55.3,4.7,1,4.65766185374942
"Oldham",1500.5,100,54458,2070,28.1,13.9,14.2,23,77.8,3.7,0,0
"Armstrong",909.1,100,55177,1955,23.4,21.4,11.1,25,76.2,3.2,0,0
"Edwards",2117.9,100,35554,1879,20.2,26,18.4,29,41.8,4.4,0,0
"Throckmorton",912.6,100,43618,1608,21.5,25.3,13.7,23,57.2,3.9,2,12.4378109452736
"Irion",1051.6,100,63054,1574,22.2,18.3,8.7,24,57.2,3.7,0,0
"Briscoe",900,100,42139,1536,21.8,23.9,18.6,35,51.2,4.3,0,0
"Cottle",900.6,100,32722,1415,21.8,24.5,15.4,26,67.8,5.7,0,0
"Stonewall",916.3,100,42780,1403,22.4,25.8,16.6,28,37.6,3.9,0,0
"Sterling",923.5,100,59854,1339,26.7,16.7,15.1,22,65.1,2.7,0,0
"Glasscock",900.2,100,73335,1291,25.9,14.4,4.2,25,48.6,2.7,0,0
"Foard",704.4,100,33442,1275,21.4,24.9,15.4,30,68.5,4.3,0,0
"Motley",989.6,100,37936,1153,19.9,28.4,25.5,17,67.8,4.5,0,0
"Roberts",924.1,100,69424,928,24.7,18.6,3,20,66,3.4,0,0
"Terrell",2358,100,39503,927,20.1,23,10,26,50.2,4.2,0,0
"McMullen",914.9,100,61571,805,20.5,22.9,15.8,23,51.6,1.7,0,0
"Kent",902.5,100,43026,785,21.5,26.9,8.6,27,75.2,3.2,0,0
"Borden",897.4,100,61750,652,21.6,20.6,0.9,28,83,3,0,0
"Kenedy",1458.3,100,38451,400,25.5,15.3,32.8,27,50,2.9,0,0
"King",910.9,100,64203,262,20.6,17.6,5.9,35,37.5,4.3,0,0
"Loving",668.9,100,55819,86,30.2,15.1,12,27,2.7,5,0,0
